run_number,day,month,clients_case1,clients_case2,clients_case3,clients_case4,shelter_capacity_left,sent_to_hotel,ppl_turned_away
2,195,July,0,3,2,1,0,1,1
2,196,July,2,2,-3,1,0,1,2
2,197,July,0,4,4,3,0,0,2
2,198,July,-1,2,2,5,0,1,2
2,199,July,5,-1,0,1,0,0,0
2,200,July,4,2,4,1,0,0,1
2,201,July,3,4,3,1,0,1,1
2,202,July,3,4,3,-1,0,1,2
2,203,July,-2,5,-3,2,0,0,2
2,204,July,-2,-2,-3,3,4,0,0
2,205,July,-1,4,0,-1,2,1,1
2,206,July,-2,1,-3,-1,7,0,0
2,207,July,2,-1,-2,3,5,1,0
2,208,July,-2,5,5,1,0,0,2
2,209,July,-1,0,5,0,0,0,2
2,210,July,4,0,-1,-2,0,0,0
2,211,July,1,4,-3,-1,0,0,1
2,212,July,-1,3,2,-1,0,1,2
2,213,July,2,-2,3,5,0,0,0
2,214,August,0,2,3,-1,0,0,0
2,215,August,-2,1,0,3,0,1,0
2,216,August,4,-2,4,-2,0,0,2
2,217,August,-2,3,3,1,0,1,1
2,218,August,2,2,5,-2,0,0,0
2,219,August,4,4,1,2,0,0,1
2,220,August,5,1,2,1,0,0,0
2,221,August,5,-2,-2,-1,0,1,1
2,222,August,5,0,2,3,0,0,2
2,223,August,-2,1,1,-1,1,1,2
2,224,August,5,4,5,0,0,0,0
2,225,August,4,-3,3,-1,0,0,1
2,226,August,-2,-2,-1,5,0,0,0
2,227,August,1,2,-1,5,0,1,0
2,228,August,-1,1,5,1,0,1,0
2,229,August,2,4,2,3,0,0,2
2,230,August,3,1,-2,4,0,0,2
2,231,August,3,2,-2,2,0,1,0
2,232,August,4,-3,-1,5,0,0,1
2,233,August,2,2,-2,2,0,1,0
2,234,August,0,2,5,5,0,1,0
2,235,August,4,2,-2,4,0,0,2
2,236,August,3,-1,0,0,0,0,2
2,237,August,4,1,-2,5,0,0,2
2,238,August,-2,5,0,2,0,0,1
2,239,August,-1,2,-2,3,0,1,1
2,240,August,1,1,4,-2,0,0,1
2,241,August,4,-2,0,5,0,1,0
2,242,August,1,3,5,4,0,0,1
2,243,August,3,1,1,3,0,1,0
2,244,August,3,2,-2,5,0,1,2
2,245,September,5,-1,0,-1,0,1,1
2,246,September,3,1,5,0,0,0,0
2,247,September,-1,0,-1,2,0,1,1
2,248,September,0,-2,4,0,0,0,1
2,249,September,-3,-3,3,0,3,1,2
2,250,September,1,-2,2,-1,3,0,1
2,251,September,-2,-2,5,1,1,1,2
2,252,September,2,2,1,-1,0,0,2
2,253,September,0,3,1,0,0,1,2
2,254,September,4,-2,3,3,0,1,2
2,255,September,4,2,0,0,0,0,2
2,256,September,-1,-3,4,-1,1,0,0
2,257,September,4,5,-2,-2,0,0,1
2,258,September,4,3,-1,2,0,0,0
2,259,September,-1,-3,3,5,0,1,2
2,260,September,0,-2,-3,2,3,0,0
2,261,September,4,-2,5,-2,0,1,2
2,262,September,3,1,4,4,0,0,1
2,263,September,0,4,-3,-1,0,1,2
2,264,September,0,4,3,3,0,0,2
2,265,September,-3,-1,-2,2,4,0,2
2,266,September,4,1,2,4,0,0,1
2,267,September,-2,0,5,-2,0,0,1
2,268,September,0,2,1,0,0,1,0
2,269,September,-2,1,3,5,0,0,2
2,270,September,3,5,1,4,0,0,2
2,271,September,2,-2,-2,-2,4,0,2
2,272,September,1,3,4,4,0,0,2
2,273,September,3,5,-2,2,0,0,0
2,274,September,3,5,4,0,0,1,2
2,275,October,3,0,4,2,0,1,2
2,276,October,0,1,5,2,0,1,0
2,277,October,2,1,0,3,0,0,0
2,278,October,1,2,0,1,0,1,0
2,279,October,5,2,5,4,0,1,1
2,280,October,2,5,0,2,0,1,1
2,281,October,4,-1,1,0,0,1,0
2,282,October,-3,-3,5,3,0,1,0
2,283,October,2,2,-3,5,0,0,2
2,284,October,0,0,-3,0,3,1,2
2,285,October,-3,-1,-2,0,9,0,0
2,286,October,-3,3,-3,4,8,0,0
2,287,October,-1,3,-2,5,3,1,1
2,288,October,5,4,-2,-2,0,0,1
2,289,October,-2,0,1,2,0,0,1
2,290,October,-2,-1,3,-2,2,0,1
2,291,October,-3,-1,-2,5,3,0,2
2,292,October,-3,5,-1,1,1,0,2
2,293,October,1,4,-3,0,0,0,1
2,294,October,-1,0,0,2,0,1,0
2,295,October,3,5,5,0,0,1,1
2,296,October,5,5,3,-2,0,1,1
2,297,October,4,2,-3,-1,0,0,0
2,298,October,3,-2,2,4,0,1,0
2,299,October,0,-3,-3,-1,7,1,0
2,300,October,3,0,-3,5,2,1,0
2,301,October,-3,-1,-1,-1,8,0,0
2,302,October,-1,2,3,0,4,0,2
2,303,October,-2,-3,-2,3,8,0,1
2,304,October,-3,2,-2,0,11,1,1
2,305,October,-3,-3,4,1,12,1,1
2,306,November,5,0,2,1,4,0,0
2,307,November,1,3,0,5,0,1,1
2,308,November,-1,2,-2,0,1,0,2
2,309,November,1,2,1,-2,0,0,1
2,310,November,0,-2,-3,-2,7,0,2
2,311,November,-3,-1,1,-2,12,1,1
2,312,November,2,-1,4,1,6,0,2
2,313,November,-2,-2,3,-2,9,1,0
2,314,November,0,5,-2,4,2,0,0
2,315,November,-1,1,1,2,0,1,0
2,316,November,5,4,5,-2,0,1,2
2,317,November,1,-1,5,-1,0,0,1
2,318,November,3,5,-2,2,0,1,1
2,319,November,4,2,-1,4,0,0,0
2,320,November,5,1,0,1,0,1,1
2,321,November,5,-3,-3,-1,2,1,1
2,322,November,3,-3,1,-1,2,0,1
2,323,November,-3,5,1,-1,0,1,0
2,324,November,2,4,0,4,0,0,0
2,325,November,5,-2,-1,-2,0,0,2
2,326,November,-2,2,3,1,0,1,2
2,327,November,1,-1,-2,3,0,0,1
2,328,November,-3,2,3,1,0,1,0
2,329,November,0,1,-3,3,0,1,1
2,330,November,4,0,-2,1,0,0,2
2,331,November,3,-2,0,-2,1,0,1
2,332,November,-3,-1,-1,4,2,0,2
2,333,November,2,0,-2,3,0,1,2
2,334,November,3,3,-2,2,0,0,2
2,335,November,-2,0,5,-1,0,1,1
2,336,December,1,2,0,1,0,1,2
2,337,December,1,4,1,1,0,1,1
2,338,December,1,4,-2,0,0,0,2
2,339,December,1,1,-2,0,0,1,0
2,340,December,0,4,-2,1,0,1,1
2,341,December,2,-1,2,1,0,0,1
2,342,December,-2,4,2,-1,0,0,2
2,343,December,0,4,2,1,0,0,2
2,344,December,1,-3,4,-1,0,1,0
2,345,December,-2,4,3,3,0,0,0
2,346,December,-1,5,2,-1,0,1,2
2,347,December,-1,3,-2,0,0,0,2
2,348,December,3,2,-1,1,0,0,0
2,349,December,-2,2,-1,4,0,0,2
2,350,December,-3,3,1,2,0,1,1
2,351,December,0,3,-3,3,0,1,1
2,352,December,2,-2,-2,1,1,0,1
2,353,December,1,2,-3,1,0,1,0
2,354,December,-3,2,-2,5,0,0,0
2,355,December,-2,1,4,4,0,0,2
2,356,December,-2,-3,5,2,0,0,1
2,357,December,2,-1,-1,0,0,1,0
2,358,December,1,3,4,2,0,1,2
2,359,December,-2,4,4,4,0,1,0
2,360,December,-2,2,5,-2,0,1,0
2,361,December,0,0,-3,-1,4,0,2
2,362,December,0,-1,-3,2,6,0,1
2,363,December,5,4,2,3,0,0,0
2,364,December,3,-1,0,1,0,0,2
