run_number,day,month,clients_case1,clients_case2,clients_case3,clients_case4,shelter_capacity_left,sent_to_hotel,ppl_turned_away
3,63,March,-2,-3,4,1,0,1,0
3,64,March,-1,3,-1,-3,0,1,5
3,65,March,2,2,-1,-2,2,1,4
3,66,March,2,-1,-1,1,1,0,5
3,67,March,4,0,4,-1,0,0,1
3,68,March,-2,-1,1,-2,0,0,5
3,69,March,0,0,2,3,4,0,3
3,70,March,3,5,4,1,0,1,2
3,71,March,-2,5,2,-1,0,1,5
3,72,March,-1,-3,-3,3,0,1,2
3,73,March,4,5,2,2,4,1,3
3,74,March,-2,3,4,2,0,1,1
3,75,March,1,-3,2,-1,0,0,5
3,76,March,2,2,-3,-2,1,1,2
3,77,March,-2,3,-1,1,2,1,3
3,78,March,2,-3,-2,3,1,1,4
3,79,March,2,-3,-3,0,1,1,1
3,80,March,0,3,4,3,5,0,5
3,81,March,-1,4,1,-2,0,1,3
3,82,March,5,-3,0,0,0,0,0
3,83,March,5,-3,0,-2,0,0,2
3,84,March,0,-2,2,3,0,1,3
3,85,March,3,4,-3,0,0,0,4
3,86,March,-2,-2,4,0,0,1,5
3,87,March,4,0,4,5,0,1,3
3,88,March,1,5,5,-3,0,0,1
3,89,March,0,5,1,2,0,1,0
3,90,March,2,2,-3,5,0,1,2
3,91,March,1,5,0,0,0,1,2
3,92,April,-1,1,-3,5,0,0,2
3,93,April,-2,0,-2,-1,0,0,2
3,94,April,3,5,-2,2,5,1,3
3,95,April,2,4,-1,-3,0,0,5
3,96,April,4,5,3,1,0,0,0
3,97,April,2,-3,-3,3,0,1,2
3,98,April,1,-1,5,-3,1,1,3
3,99,April,1,-2,1,0,0,1,1
3,100,April,1,0,-3,3,0,0,3
3,101,April,2,-1,-2,-3,0,0,3
3,102,April,2,5,0,-3,4,1,0
3,103,April,0,-1,-1,4,0,1,2
3,104,April,1,-2,-3,2,0,1,4
3,105,April,-1,1,5,3,2,1,0
3,106,April,-2,0,3,3,0,0,1
3,107,April,3,5,-2,2,0,1,5
3,108,April,-1,2,2,3,0,0,3
3,109,April,1,-2,1,0,0,0,0
3,110,April,0,4,5,5,0,1,2
3,111,April,5,2,5,3,0,0,1
3,112,April,4,1,1,3,0,1,4
3,113,April,1,-3,4,0,0,1,5
3,114,April,-1,2,5,-1,0,0,3
3,115,April,2,0,0,-1,0,1,4
3,116,April,-2,-3,-3,3,0,0,2
3,117,April,4,3,3,-3,5,0,2
3,118,April,4,2,0,5,0,0,0
3,119,April,2,0,5,-3,0,0,3
3,120,April,5,3,3,5,0,0,2
3,121,April,-2,4,-1,-2,0,0,1
3,122,May,1,0,-2,5,1,1,4
3,123,May,-2,3,0,0,0,1,0
3,124,May,0,0,0,3,0,1,2
3,125,May,0,4,4,1,0,1,3
3,126,May,3,2,0,2,0,1,2
3,127,May,-2,-3,2,-2,0,0,1
3,128,May,-3,-3,-1,4,5,1,0
3,129,May,5,3,-2,-2,8,1,2
3,130,May,0,-2,-2,5,4,1,2
3,131,May,-2,-2,3,3,3,0,3
3,132,May,4,0,0,3,1,0,2
3,133,May,0,0,4,-3,0,0,3
3,134,May,0,-3,1,-1,0,1,5
3,135,May,3,-2,-2,4,3,0,3
3,136,May,2,-3,2,-2,0,1,2
3,137,May,1,-2,-3,0,1,1,4
3,138,May,3,4,0,4,5,0,5
3,139,May,2,1,2,3,0,0,0
3,140,May,3,-2,3,-2,0,0,1
3,141,May,-3,4,-3,-3,0,0,2
3,142,May,-2,-2,5,5,5,1,5
3,143,May,1,-1,-2,4,0,0,1
3,144,May,2,0,2,0,0,0,4
3,145,May,4,1,3,5,0,1,3
3,146,May,-1,-3,-3,2,0,0,5
3,147,May,1,-2,4,0,5,0,5
3,148,May,-2,2,3,2,2,1,1
3,149,May,4,2,-2,3,0,1,3
3,150,May,3,-1,0,2,0,0,4
3,151,May,-2,-2,0,-3,0,0,1
3,152,May,0,0,1,-2,7,1,5
3,153,June,-2,1,-1,1,8,0,5
3,154,June,5,5,5,-2,9,1,1
3,155,June,-3,0,1,0,0,0,3
3,156,June,1,-1,2,-2,2,0,4
3,157,June,4,0,5,1,2,1,5
3,158,June,-1,-3,-2,-1,0,1,5
3,159,June,5,5,-2,5,7,1,2
3,160,June,2,-2,1,1,0,0,2
3,161,June,0,0,-3,2,0,1,0
3,162,June,1,4,-3,3,1,1,4
3,163,June,0,2,1,-1,0,0,1
3,164,June,0,3,-1,-1,0,1,1
3,165,June,-2,1,5,-2,0,1,5
3,166,June,4,2,1,4,0,1,4
3,167,June,4,3,-1,-2,0,1,5
3,168,June,-2,1,4,0,0,0,2
3,169,June,3,-1,-1,-1,0,1,2
3,170,June,2,4,3,4,0,0,0
3,171,June,-3,0,-1,1,0,0,3
3,172,June,5,2,3,4,3,0,1
3,173,June,0,5,1,-3,0,1,5
3,174,June,3,0,1,5,0,1,4
3,175,June,4,-1,3,5,0,0,0
3,176,June,-3,-3,0,-1,0,1,1
3,177,June,3,0,3,-2,7,0,2
3,178,June,-2,3,2,2,3,1,4
3,179,June,-1,-2,1,5,0,1,4
3,180,June,0,-3,-2,5,0,0,5
3,181,June,-3,-3,-2,0,0,1,4
3,182,June,-3,-2,-1,1,8,1,2
3,183,July,4,4,-1,4,13,0,2
3,184,July,0,-2,1,-3,2,1,1
3,185,July,0,1,3,-3,6,0,5
3,186,July,5,-2,-2,4,5,1,4
3,187,July,1,4,2,-3,0,0,2
3,188,July,1,-2,-2,-3,0,0,3
3,189,July,3,5,0,3,6,1,0
3,190,July,-2,5,5,0,0,0,4
3,191,July,3,3,5,1,0,0,5
3,192,July,3,-2,2,-2,0,0,2
3,193,July,-2,5,2,-1,0,1,3
3,194,July,-2,1,3,-3,0,1,4
3,195,July,4,-3,2,-1,1,1,4
3,196,July,-2,5,5,5,0,1,4
3,197,July,5,4,-2,-2,0,1,1
3,198,July,2,-2,-2,-1,0,1,4
3,199,July,1,-2,-3,5,3,0,5
3,200,July,1,-1,2,3,2,1,1
3,201,July,5,1,-2,5,0,1,1
3,202,July,4,2,0,-3,0,1,0
3,203,July,2,5,2,2,0,0,2
3,204,July,3,3,2,0,0,0,1
3,205,July,4,-2,2,0,0,0,0
3,206,July,5,4,-3,3,0,0,1
3,207,July,0,-2,-3,-1,0,1,2
3,208,July,4,-3,5,-1,6,0,3
3,209,July,-3,1,1,-3,1,1,2
3,210,July,2,4,-1,2,5,0,4
3,211,July,3,4,4,5,0,0,4
3,212,July,5,-2,-3,2,0,0,5
3,213,July,0,-1,-2,-1,0,0,4
3,214,August,3,5,-1,2,4,0,0
3,215,August,2,-1,-1,-3,0,1,5
3,216,August,2,4,4,4,3,1,4
3,217,August,-3,5,0,5,0,1,5
3,218,August,4,4,2,1,0,1,1
3,219,August,2,-2,3,0,0,0,5
3,220,August,0,0,3,1,0,0,1
3,221,August,2,2,-3,3,0,1,1
3,222,August,2,5,2,5,0,1,5
3,223,August,-2,-1,1,0,0,0,1
3,224,August,-2,1,0,1,2,0,5
3,225,August,-3,0,-2,4,2,1,4
3,226,August,4,2,0,0,3,0,0
3,227,August,-1,-3,-2,0,0,0,4
3,228,August,5,4,-3,3,6,1,2
3,229,August,5,1,4,-1,0,0,2
3,230,August,5,4,1,2,0,1,4
3,231,August,1,-2,-3,1,0,0,4
3,232,August,2,-1,0,2,3,0,1
3,233,August,-3,1,0,-1,0,1,2
3,234,August,0,0,-3,4,3,1,1
3,235,August,3,5,0,-1,2,1,0
3,236,August,0,3,0,1,0,1,0
3,237,August,2,0,-2,5,0,0,5
3,238,August,-1,0,4,-3,0,1,4
3,239,August,2,0,-2,3,0,1,5
3,240,August,1,-3,-1,4,0,1,4
3,241,August,3,3,-1,-3,0,0,4
3,242,August,-3,4,0,5,0,0,2
3,243,August,-1,4,2,5,0,0,5
3,244,August,1,3,3,-1,0,1,0
3,245,September,-1,4,-1,2,0,1,5
3,246,September,-1,2,2,4,0,0,1
3,247,September,2,-3,-2,4,0,0,4
3,248,September,-3,1,5,2,0,1,3
3,249,September,2,5,-2,-2,0,1,0
3,250,September,1,-3,5,0,0,0,1
3,251,September,-2,-2,-2,3,0,1,3
3,252,September,5,5,-2,0,3,0,5
3,253,September,3,-1,1,4,0,1,5
3,254,September,3,-2,-3,5,0,0,3
3,255,September,4,5,2,5,0,1,0
3,256,September,-3,-1,5,2,0,1,3
3,257,September,-2,-3,2,1,0,0,5
3,258,September,-2,5,-1,1,2,1,4
3,259,September,4,-2,-1,-2,0,1,1
3,260,September,-2,0,2,0,1,0,0
3,261,September,2,-3,-1,4,1,1,0
3,262,September,-2,5,4,2,0,0,2
3,263,September,-1,-2,2,1,0,0,2
3,264,September,5,2,0,2,0,0,4
3,265,September,-1,0,-2,2,0,1,0
3,266,September,1,1,-1,2,1,1,2
3,267,September,4,-2,2,-1,0,1,0
3,268,September,-2,-3,3,5,0,1,2
3,269,September,-3,4,-3,-1,0,1,2
3,270,September,4,1,4,-2,3,0,0
3,271,September,1,2,3,5,0,0,5
3,272,September,5,-2,-3,5,0,1,4
3,273,September,0,3,2,-2,0,1,4
3,274,September,1,0,5,4,0,0,2
3,275,October,-1,4,-2,4,0,0,2
3,276,October,5,-3,5,1,0,1,3
3,277,October,-3,5,2,3,0,1,0
3,278,October,0,-3,3,2,0,1,0
3,279,October,-1,5,1,-1,0,1,3
3,280,October,0,-1,-3,5,0,1,1
3,281,October,2,2,4,3,0,0,4
3,282,October,-2,0,3,4,0,1,3
3,283,October,-2,0,-1,0,0,1,3
3,284,October,-3,5,5,-1,3,1,1
3,285,October,1,5,1,3,0,0,1
3,286,October,5,-2,3,1,0,1,0
3,287,October,3,2,1,-3,0,0,5
3,288,October,-3,3,2,-1,0,1,4
3,289,October,-3,5,1,5,0,0,0
3,290,October,-3,0,-3,5,0,0,5
3,291,October,5,4,5,0,1,0,2
3,292,October,1,1,-3,-1,0,1,4
3,293,October,2,4,4,4,2,0,2
3,294,October,3,0,2,0,0,1,1
3,295,October,-2,0,1,4,0,0,1
3,296,October,1,5,1,-1,0,0,4
3,297,October,3,3,-3,-2,0,0,3
3,298,October,-3,-3,3,3,0,1,4
3,299,October,-1,3,2,1,0,0,1
3,300,October,5,-2,0,3,0,1,1
3,301,October,-3,0,3,-3,0,1,5
3,302,October,0,-1,-2,4,3,0,4
3,303,October,-1,0,1,-3,2,0,4
3,304,October,3,1,-3,-2,5,1,4
3,305,October,1,1,4,-1,6,1,0
3,306,November,2,3,-1,-3,1,0,4
3,307,November,0,-1,0,3,0,1,3
3,308,November,5,4,2,1,0,0,5
3,309,November,5,3,2,4,0,0,5
3,310,November,-1,0,-2,2,0,1,1
3,311,November,4,-1,-2,2,1,0,3
3,312,November,-1,3,-3,5,0,0,5
3,313,November,-2,-2,5,-1,0,1,5
3,314,November,-1,-2,4,-3,0,0,4
3,315,November,4,2,1,3,2,1,2
3,316,November,-3,5,3,3,0,1,4
3,317,November,3,0,1,4,0,1,2
3,318,November,-2,0,-1,1,0,0,1
3,319,November,-3,2,-3,0,2,0,3
3,320,November,-3,4,4,3,6,1,1
3,321,November,5,-1,2,-2,0,1,4
3,322,November,3,3,1,-3,0,0,1
3,323,November,0,-3,-3,-2,0,1,1
3,324,November,-1,2,2,1,8,0,5
3,325,November,4,-2,5,3,4,1,5
3,326,November,-2,-3,-3,-1,0,1,5
3,327,November,1,2,0,2,9,1,4
3,328,November,-1,2,1,-1,4,1,3
3,329,November,4,0,-1,2,3,1,0
3,330,November,-1,0,4,4,0,1,5
3,331,November,-3,5,-2,-1,0,1,4
3,332,November,3,0,-3,0,1,0,2
3,333,November,-2,-3,-3,4,1,1,0
3,334,November,4,-3,-2,4,5,1,4
3,335,November,-2,2,3,-3,2,1,0
3,336,December,2,3,-2,3,2,0,5
3,337,December,1,2,-3,-1,0,1,0
3,338,December,4,0,4,-2,1,0,3
3,339,December,1,-1,-2,1,0,0,4
3,340,December,3,-3,-2,5,1,1,2
3,341,December,-2,1,4,-3,0,0,5
3,342,December,3,3,4,3,0,1,2
3,343,December,-1,2,-2,2,0,0,3
3,344,December,-1,3,4,1,0,1,4
3,345,December,2,3,-3,1,0,1,3
3,346,December,3,-3,3,-1,0,0,3
3,347,December,4,-3,0,5,0,1,1
3,348,December,5,-2,3,2,0,1,1
3,349,December,5,1,2,-2,0,1,5
3,350,December,-3,5,0,1,0,0,2
3,351,December,-2,-3,2,1,0,1,3
3,352,December,5,-2,-2,-3,2,1,2
3,353,December,4,-3,-1,5,4,1,2
3,354,December,4,5,2,-2,0,1,0
3,355,December,-1,-1,-1,1,0,1,3
3,356,December,0,3,2,2,2,0,1
3,357,December,-3,4,-3,-2,0,1,5
3,358,December,-2,-2,4,0,4,0,4
3,359,December,-2,5,0,3,4,0,3
3,360,December,1,0,-2,3,0,0,0
3,361,December,2,-3,-2,-2,0,0,5
3,362,December,2,-2,-2,0,5,0,5
3,363,December,4,0,-3,-2,7,1,2
3,364,December,0,5,-3,3,8,1,3
